order,timestamp,phase,event,actor_class,evidence
1,2026-06-28T14:57:12+08:00,RH0.9 strict continuation,Mt_K_LC040_N16 RH0.9 crash artifacts quarantined and valid restart recovered,DETERMINISTIC_EXCEPTION_HANDLING,generated/rh09_final1m_continuation_summary.csv
2,2026-07-01T14:41:17+08:00,Downstream RH0.3 production,Strict downstream RH0.3 production started from validated RH0.9 archives,ROUTINE_DETERMINISTIC,generated/downstream_rh03_rh01_production_supervisor.log
3,2026-07-01T17:29:10+08:00,Downstream RH0.3 production,Known fatal keyword stop detected for Mt_Na_LC040_N16 RH0.3 and handled deterministically,DETERMINISTIC_EXCEPTION_HANDLING,generated/downstream_rh03_rh01_production_supervisor.log
4,2026-07-01T20:28:00+08:00,Downstream RH0.3 production,Bad pending input/recovery artifact quarantined; deterministic workflow resumed from valid state,DETERMINISTIC_EXCEPTION_HANDLING,examples/Mt_Na_LC040_N16/rh_0p30/crash_recovery_20260701T2028_bad_pending_input
5,2026-07-02T23:00:46+08:00,Downstream RH0.3/RH0.1 progression,Routine RH0.3 pass and RH0.1 progression for non-K systems recorded by supervisor,ROUTINE_DETERMINISTIC,generated/downstream_rh03_rh01_production_supervisor.log
6,2026-07-03T16:12:00+08:00,K RH0.3 exception,Mt_K_LC040_N16 RH0.3 blocked at apparent max_total_steps_per_rh,DETERMINISTIC_EXCEPTION_HANDLING,generated/downstream_rh03_rh01_production_supervisor.log
7,2026-07-03T16:12:00+08:00,K RH0.3 reasoning boundary,K RH0.3 block raised ambiguous state-semantics question: absolute inherited timestep versus RH-local elapsed budget,REASONING_BOUNDARY,paper_artifacts/final_campaign/workflow_case_study/workflow_case_study.md
8,2026-07-06T00:00:00+08:00,Step-accounting audit,Human-directed Codex-assisted audit confirmed RH-local step-accounting bug; deterministic code fix and regression test were applied before recovery,CODEX_ASSISTED_AUDIT_NOT_RUNTIME_CALL,paper_artifacts/final_campaign/workflow_case_study/workflow_case_study.md
9,2026-07-06T21:26:12+08:00,K RH0.3 deterministic recovery,K RH0.3 resumed from valid state under corrected RH-local budget,ROUTINE_DETERMINISTIC,generated/downstream_rh03_rh01_production_supervisor.log
10,2026-07-07T00:33:11+08:00,K RH0.3 completion,K RH0.3 strict pass reached after targeted continuation,ROUTINE_DETERMINISTIC,generated/downstream_rh03_rh01_production_supervisor.log
11,2026-07-07T01:57:11+08:00,K RH0.1 completion,K RH0.1 strict pass completed through deterministic downstream workflow,ROUTINE_DETERMINISTIC,generated/downstream_rh03_rh01_production_supervisor.log
12,2026-07-07T02:00:00+08:00,Final campaign,Final strict-production dataset contains all 15 strict-passing system x RH states,ROUTINE_DETERMINISTIC,paper_artifacts/final_campaign/authoritative_manifest.csv
