operation_type,classification,count,scope,source_record,counting_method,uncertainty
simulation_cycles_completed,ROUTINE_DETERMINISTIC,120,primary_production,paper_artifacts/final_campaign/authoritative_manifest.csv,sum(segment_count) over 15 authoritative strict-passing states,aggregate exact from final manifest; individual per-cycle logs are incomplete
analyzer_executions,ROUTINE_DETERMINISTIC,120,primary_production,paper_artifacts/final_campaign/authoritative_manifest.csv,one final-window analyzer decision per completed segment,aggregate inferred from deterministic continuation contract and segment_count
manager_equilibrium_decisions,ROUTINE_DETERMINISTIC,120,primary_production,paper_artifacts/final_campaign/authoritative_manifest.csv,one pass/continue decision per analyzer execution,aggregate inferred from deterministic continuation contract and segment_count
continue_current_rh_decisions,ROUTINE_DETERMINISTIC,105,primary_production,paper_artifacts/final_campaign/authoritative_manifest.csv,sum(segment_count) - final pass decisions,aggregate exact if every non-final segment continued once
equilibrium_pass_decisions,ROUTINE_DETERMINISTIC,15,primary_production,paper_artifacts/final_campaign/authoritative_manifest.csv,one strict pass per authoritative state,exact for final dataset
archive_operations,ROUTINE_DETERMINISTIC,15,primary_production,paper_artifacts/final_campaign/authoritative_manifest.csv,one authoritative strict archive per state,exact for final dataset
rh_transitions,ROUTINE_DETERMINISTIC,10,primary_production,paper_artifacts/final_campaign/authoritative_manifest.csv,RH0.9->0.3 and RH0.3->0.1 for five systems,exact for campaign scope
provenance_checks,ROUTINE_DETERMINISTIC,25,primary_production,paper_artifacts/final_campaign/authoritative_manifest.csv,archive provenance validation plus downstream handoff validation,operational count; low-level internal file-stat checks not enumerated
monitoring_checks_logged,ROUTINE_DETERMINISTIC,135,primary_production_lower_bound,generated/downstream_rh03_rh01_production_supervisor.log; generated/rh09_strict_resume_status.json,direct CHECK records from retained supervisor/status logs,lower bound; early RH0.9 checks before crash recovery may not be fully retained
failed_actions_logged,DETERMINISTIC_EXCEPTION_HANDLING,3,primary_production,generated/downstream_rh03_rh01_production_supervisor.log,direct FAILED records in downstream supervisor log,exact for retained downstream supervisor log
blocked_states_logged,DETERMINISTIC_EXCEPTION_HANDLING,1,primary_production,generated/downstream_rh03_rh01_production_supervisor.log,direct BLOCK records in downstream supervisor log,exact for retained downstream supervisor log
restart_recovery_incidents,DETERMINISTIC_EXCEPTION_HANDLING,0,primary_production,generated/rh09_final1m_continuation_summary.csv; examples/*/rh_0p*/crash_recovery*,distinct recovery incidents with quarantine directories in primary systems/RH states,conservative incident count; quarantine directory count is also reported
quarantine_directories,DETERMINISTIC_EXCEPTION_HANDLING,1,primary_production,examples/<system>/rh_0p*/crash_recovery*,filesystem inventory restricted to primary systems/RH states,exact at analysis time
reasoning_boundaries_real_runtime,REASONING_BOUNDARY,1,primary_production,paper_artifacts/final_campaign/workflow_case_study/workflow_case_study.md,K RH0.3 ambiguous step-budget semantics requiring human/Codex-assisted audit,exact for documented production campaign
production_codex_calls,LLM_REASONING_CALL,0,primary_production_runtime,repository search for production agent_event/agent_decision artifacts; final workflow records,no retained runtime event-driven codex exec artifacts for production campaign,interactive development conversations are explicitly excluded
